Label,Seed,Trainsize,NumEntities,UniqueEntities,AvgTokens,Lang,Model,F1
MEDIEN,6274,140,15,13,1.7333333333333334,Spanish,Base,0.761904761904762
PARTEI,6274,140,41,23,1.5853658536585367,Spanish,Base,0.851063829787234
POLITIKER,6274,140,74,62,2.7027027027027026,Spanish,Base,0.8192771084337349
BEHÖRDE,6274,150,59,36,2.7457627118644066,Spanish,Base,0.6575342465753424
JOURNALIST,6274,150,0,0,0.0,Spanish,Base,0.0
MEDIEN,6274,150,15,13,1.7333333333333334,Spanish,Base,0.8444444444444444
PARTEI,6274,150,43,23,1.558139534883721,Spanish,Base,0.8085106382978724
POLITIKER,6274,150,75,62,2.6933333333333334,Spanish,Base,0.8192771084337349
BEHÖRDE,6274,160,62,37,2.7419354838709675,Spanish,Base,0.6575342465753424
JOURNALIST,6274,160,0,0,0.0,Spanish,Base,0.0
MEDIEN,6274,160,15,13,1.7333333333333334,Spanish,Base,0.8260869565217391
PARTEI,6274,160,45,23,1.5333333333333334,Spanish,Base,0.8210526315789475
POLITIKER,6274,160,78,64,2.6538461538461537,Spanish,Base,0.8433734939759037
BEHÖRDE,6274,170,69,38,2.652173913043478,Spanish,Base,0.6571428571428571
JOURNALIST,6274,170,0,0,0.0,Spanish,Base,0.0
MEDIEN,6274,170,15,13,1.7333333333333334,Spanish,Base,0.8372093023255814
PARTEI,6274,170,48,24,1.5416666666666667,Spanish,Base,0.888888888888889
POLITIKER,6274,170,78,64,2.6538461538461537,Spanish,Base,0.8433734939759037
BEHÖRDE,6274,180,75,41,2.6666666666666665,Spanish,Base,0.6865671641791046
JOURNALIST,6274,180,0,0,0.0,Spanish,Base,0.0
MEDIEN,6274,180,15,13,1.7333333333333334,Spanish,Base,0.761904761904762
PARTEI,6274,180,51,24,1.5098039215686274,Spanish,Base,0.7857142857142858
POLITIKER,6274,180,79,65,2.6455696202531644,Spanish,Base,0.8500000000000001
BEHÖRDE,6274,190,80,42,2.7,Spanish,Base,0.7384615384615384
JOURNALIST,6274,190,2,2,2.0,Spanish,Base,0.0
MEDIEN,6274,190,15,13,1.7333333333333334,Spanish,Base,0.8444444444444444
PARTEI,6274,190,54,25,1.4814814814814814,Spanish,Base,0.8297872340425532
POLITIKER,6274,190,81,66,2.6049382716049383,Spanish,Base,0.8641975308641975
BEHÖRDE,6274,200,88,44,2.659090909090909,Spanish,Base,0.676056338028169
JOURNALIST,6274,200,2,2,2.0,Spanish,Base,0.0
MEDIEN,6274,200,15,13,1.7333333333333334,Spanish,Base,0.7999999999999999
PARTEI,6274,200,54,25,1.4814814814814814,Spanish,Base,0.8314606741573034
POLITIKER,6274,200,84,68,2.5714285714285716,Spanish,Base,0.8717948717948718
BEHÖRDE,6274,210,93,45,2.6021505376344085,Spanish,Base,0.676056338028169
JOURNALIST,6274,210,2,2,2.0,Spanish,Base,0.0
MEDIEN,6274,210,15,13,1.7333333333333334,Spanish,Base,0.761904761904762
PARTEI,6274,210,56,25,1.4642857142857142,Spanish,Base,0.8636363636363636
POLITIKER,6274,210,91,73,2.5824175824175826,Spanish,Base,0.8974358974358975
BEHÖRDE,6274,220,95,45,2.5789473684210527,Spanish,Base,0.6956521739130435
JOURNALIST,6274,220,2,2,2.0,Spanish,Base,0.0
MEDIEN,6274,220,15,13,1.7333333333333334,Spanish,Base,0.8444444444444444
PARTEI,6274,220,66,31,1.696969696969697,Spanish,Base,0.8387096774193548
POLITIKER,6274,220,92,74,2.5760869565217392,Spanish,Base,0.888888888888889
BEHÖRDE,6274,230,98,45,2.5714285714285716,Spanish,Base,0.7142857142857143
JOURNALIST,6274,230,2,2,2.0,Spanish,Base,0.0
MEDIEN,6274,230,15,13,1.7333333333333334,Spanish,Base,0.8636363636363636
PARTEI,6274,230,68,31,1.6764705882352942,Spanish,Base,0.9195402298850576
POLITIKER,6274,230,95,76,2.5789473684210527,Spanish,Base,0.888888888888889
BEHÖRDE,6274,240,107,46,2.532710280373832,Spanish,Base,0.7042253521126761
JOURNALIST,6274,240,2,2,2.0,Spanish,Base,0.0
MEDIEN,6274,240,15,13,1.7333333333333334,Spanish,Base,0.9090909090909092
PARTEI,6274,240,69,31,1.6666666666666667,Spanish,Base,0.9176470588235294
POLITIKER,6274,240,102,79,2.5392156862745097,Spanish,Base,0.9047619047619048
BEHÖRDE,6274,241,107,46,2.532710280373832,Spanish,Base,0.6666666666666665
JOURNALIST,6274,241,2,2,2.0,Spanish,Base,0.0
MEDIEN,6274,241,15,13,1.7333333333333334,Spanish,Base,0.8837209302325582
PARTEI,6274,241,69,31,1.6666666666666667,Spanish,Base,0.9195402298850576
POLITIKER,6274,241,102,79,2.5392156862745097,Spanish,Base,0.878048780487805
BEHÖRDE,6378,20,7,6,2.2857142857142856,Spanish,Base,0.6868686868686869
JOURNALIST,6378,20,0,0,0.0,Spanish,Base,0.0
MEDIEN,6378,20,0,0,0.0,Spanish,Base,0.5333333333333333
PARTEI,6378,20,6,5,1.3333333333333333,Spanish,Base,0.7777777777777778
POLITIKER,6378,20,8,6,2.125,Spanish,Base,0.7397260273972601
BEHÖRDE,6378,30,12,8,2.25,Spanish,Base,0.7326732673267327
JOURNALIST,6378,30,0,0,0.0,Spanish,Base,0.0
MEDIEN,6378,30,0,0,0.0,Spanish,Base,0.7777777777777778
PARTEI,6378,30,9,6,1.2222222222222223,Spanish,Base,0.7674418604651163
POLITIKER,6378,30,10,8,3.1,Spanish,Base,0.732394366197183
BEHÖRDE,6378,40,14,9,2.142857142857143,Spanish,Base,0.7659574468085107
JOURNALIST,6378,40,0,0,0.0,Spanish,Base,0.0
MEDIEN,6378,40,0,0,0.0,Spanish,Base,0.7368421052631577
PARTEI,6378,40,14,9,1.5,Spanish,Base,0.8421052631578948
POLITIKER,6378,40,11,9,3.0,Spanish,Base,0.7647058823529411
BEHÖRDE,6378,50,20,13,2.4,Spanish,Base,0.7446808510638298
JOURNALIST,6378,50,0,0,0.0,Spanish,Base,1.0
MEDIEN,6378,50,1,1,2.0,Spanish,Base,0.7777777777777778
PARTEI,6378,50,14,9,1.5,Spanish,Base,0.8602150537634408
POLITIKER,6378,50,29,26,2.9310344827586206,Spanish,Base,0.7826086956521738
