Trainset,Model,Seed,Trainsize,Test_size,Best_step,Total_steps,OVERALL,RECALL,PRECISION,BEHÖRDE,JOURNALIST,MEDIEN,PARTEI,POLITIKER
Spanish,Large,7317,180,104,1311,1800,0.7832699619771863,0.7152777777777778,0.865546218487395,0.6987951807228915,1.0,0.6666666666666666,0.861111111111111,0.8089887640449439
Spanish,Large,7317,190,104,1825,1900,0.7633587786259541,0.6993006993006993,0.8403361344537815,0.6987951807228915,1.0,0.5714285714285714,0.8985507246376812,0.7391304347826088
Spanish,Large,7317,200,104,1841,2000,0.789272030651341,0.7253521126760564,0.865546218487395,0.6666666666666667,1.0,0.6666666666666666,0.9315068493150686,0.7912087912087913
Spanish,Large,7317,210,104,1951,2100,0.7803030303030304,0.7103448275862069,0.865546218487395,0.6341463414634146,1.0,0.8571428571428571,0.9142857142857143,0.7872340425531915
Spanish,Large,7317,220,104,1568,2200,0.7791164658634538,0.7461538461538462,0.8151260504201681,0.6753246753246752,1.0,0.7692307692307692,0.8732394366197184,0.7857142857142856
Spanish,Large,7317,230,104,2162,2300,0.7890625,0.7372262773722628,0.8487394957983193,0.6842105263157896,1.0,0.6153846153846153,0.8823529411764706,0.8210526315789474
Spanish,Large,7317,240,104,2289,2400,0.7803030303030304,0.7103448275862069,0.865546218487395,0.6666666666666665,1.0,0.6666666666666666,0.8732394366197184,0.8222222222222223
Spanish,Large,7317,241,104,439,2410,0.7729083665338646,0.7348484848484849,0.8151260504201681,0.7012987012987012,1.0,0.5,0.9117647058823528,0.7555555555555555
Spanish,Large,6378,20,104,194,200,0.7436823104693141,0.7253521126760564,0.762962962962963,0.7157894736842105,0.0,0.9,0.7191011235955056,0.8115942028985507
Spanish,Large,6378,30,104,12,300,0.7067137809187278,0.6756756756756757,0.7407407407407407,0.651685393258427,0.4,0.8571428571428571,0.7157894736842104,0.7397260273972601
Spanish,Large,6378,40,104,215,400,0.7443609022556391,0.7557251908396947,0.7333333333333333,0.6966292134831461,0.0,0.9,0.8045977011494253,0.7272727272727272
Spanish,Large,6378,50,104,404,500,0.7481481481481481,0.7481481481481481,0.7481481481481481,0.6136363636363636,0.5,0.8571428571428571,0.9069767441860465,0.7042253521126761
Spanish,Large,6378,60,104,165,600,0.7527675276752768,0.75,0.7555555555555555,0.6590909090909091,0.6666666666666666,0.9,0.8351648351648352,0.7246376811594203
Spanish,Large,6378,70,104,213,700,0.7851851851851852,0.7851851851851852,0.7851851851851852,0.7391304347826088,0.6666666666666666,0.9473684210526316,0.8636363636363636,0.7058823529411765
Spanish,Large,6378,80,104,611,800,0.8042704626334519,0.773972602739726,0.837037037037037,0.6947368421052633,0.6666666666666666,0.9473684210526316,0.9111111111111111,0.7837837837837838
Spanish,Large,6378,90,104,337,900,0.7941176470588236,0.7883211678832117,0.8,0.6956521739130435,0.0,0.9473684210526316,0.9090909090909092,0.7826086956521738
Spanish,Large,6378,100,104,899,1000,0.8290909090909091,0.8142857142857143,0.8444444444444444,0.7555555555555555,0.0,0.9473684210526316,0.9333333333333333,0.7837837837837838
Spanish,Large,6378,110,104,434,1100,0.8424908424908426,0.8333333333333334,0.8518518518518519,0.7640449438202247,0.0,0.9473684210526316,0.9130434782608695,0.8571428571428571
Spanish,Large,6378,120,104,430,1200,0.8394160583941606,0.8273381294964028,0.8518518518518519,0.7526881720430106,0.0,0.9473684210526316,0.9555555555555556,0.7887323943661971
Spanish,Large,6378,130,104,863,1300,0.8405797101449275,0.8226950354609929,0.8592592592592593,0.7608695652173914,0.0,0.9473684210526316,0.9130434782608695,0.8333333333333334
Spanish,Large,6378,140,104,541,1400,0.8561151079136691,0.8321678321678322,0.8814814814814815,0.8131868131868133,0.6666666666666666,0.9473684210526316,0.8936170212765957,0.8450704225352113
Spanish,Large,6378,150,104,695,1500,0.8581818181818183,0.8428571428571429,0.8740740740740741,0.7912087912087913,0.0,0.9473684210526316,0.9230769230769231,0.8611111111111112
Spanish,Large,6378,160,104,542,1600,0.856140350877193,0.8133333333333334,0.9037037037037037,0.8,0.6666666666666666,1.0,0.9032258064516129,0.8450704225352113
Spanish,Large,6378,170,104,489,1700,0.8642857142857143,0.8344827586206897,0.8962962962962963,0.7799999999999999,0.0,1.0,0.9438202247191012,0.8611111111111112
Spanish,Large,6378,180,104,581,1800,0.8551236749116607,0.8175675675675675,0.8962962962962963,0.8043478260869567,0.6666666666666666,0.9473684210526316,0.9032258064516129,0.8421052631578948
Spanish,Large,6378,190,104,571,1900,0.8413284132841329,0.8382352941176471,0.8444444444444444,0.7912087912087913,0.0,1.0,0.9010989010989011,0.7999999999999999
Spanish,Large,6378,200,104,640,2000,0.8428571428571429,0.8137931034482758,0.8740740740740741,0.8163265306122449,0.0,1.0,0.9032258064516129,0.7714285714285715
Spanish,Large,6378,210,104,621,2100,0.8705035971223021,0.8461538461538461,0.8962962962962963,0.8172043010752688,0.0,1.0,0.9230769230769231,0.8533333333333333
Spanish,Large,6378,220,104,1172,2200,0.8529411764705882,0.8467153284671532,0.8592592592592593,0.7789473684210527,0.0,1.0,0.8764044943820225,0.8985507246376813
Spanish,Large,6378,230,104,554,2300,0.8623188405797101,0.8439716312056738,0.8814814814814815,0.8085106382978724,0.0,1.0,0.9230769230769231,0.8333333333333334
Spanish,Large,6378,240,104,938,2400,0.8664259927797834,0.8450704225352113,0.8888888888888888,0.7872340425531915,0.0,1.0,0.9230769230769231,0.8767123287671232
Spanish,Large,6378,241,104,1140,2410,0.8683274021352313,0.8356164383561644,0.9037037037037037,0.8041237113402062,0.6666666666666666,1.0,0.9010989010989011,0.8888888888888888
Spanish,Large,5248,20,104,161,200,0.7260726072607262,0.6962025316455697,0.7586206896551724,0.7272727272727272,0.0,0.6956521739130435,0.7352941176470589,0.7435897435897437
Spanish,Large,5248,30,104,30,300,0.7006802721088434,0.6912751677852349,0.7103448275862069,0.6915887850467289,0.0,0.7555555555555555,0.59375,0.7692307692307693
Spanish,Large,5248,40,104,61,400,0.7414965986394558,0.7315436241610739,0.7517241379310344,0.6990291262135921,0.0,0.8695652173913043,0.7384615384615384,0.725
Spanish,Large,5248,50,104,97,500,0.7459807073954984,0.6987951807228916,0.8,0.7207207207207207,0.0,0.9166666666666666,0.7352941176470589,0.6904761904761906
Spanish,Large,5248,60,104,306,600,0.7475409836065573,0.7125,0.7862068965517242,0.7155963302752293,0.0,0.9166666666666666,0.7164179104477613,0.725
Spanish,Large,5248,70,104,402,700,0.7508305647840531,0.7243589743589743,0.7793103448275862,0.7192982456140351,0.0,0.7727272727272727,0.7812499999999999,0.7594936708860761
Spanish,Large,5248,80,104,116,800,0.7216494845360826,0.7191780821917808,0.7241379310344828,0.7358490566037736,0.0,0.7142857142857143,0.7096774193548386,0.7160493827160495
Spanish,Large,5248,90,104,202,900,0.7357859531772576,0.7142857142857143,0.7586206896551724,0.7272727272727272,0.0,0.8936170212765957,0.7301587301587302,0.6582278481012659
Spanish,Large,5248,100,104,801,1000,0.7491856677524431,0.7098765432098766,0.7931034482758621,0.7130434782608696,0.0,0.851063829787234,0.8181818181818182,0.6835443037974683
Spanish,Large,5248,110,104,95,1100,0.7517241379310344,0.7517241379310344,0.7517241379310344,0.6666666666666666,0.0,0.888888888888889,0.8358208955223881,0.7105263157894737
Spanish,Large,5248,120,104,690,1200,0.7986798679867987,0.7658227848101266,0.8344827586206897,0.7567567567567568,0.0,0.851063829787234,0.8484848484848486,0.7848101265822786
Spanish,Large,5248,130,104,222,1300,0.7828947368421052,0.7484276729559748,0.8206896551724138,0.6728971962616822,0.0,0.9361702127659574,0.8985507246376813,0.7407407407407408
Spanish,Large,5248,140,104,751,1400,0.8133333333333334,0.7870967741935484,0.8413793103448276,0.7850467289719626,0.0,0.9361702127659574,0.8059701492537314,0.7848101265822786
Spanish,Large,5248,150,104,1446,1500,0.808080808080808,0.7894736842105263,0.8275862068965517,0.761904761904762,0.0,0.8936170212765957,0.8484848484848486,0.7848101265822786
Spanish,Large,5248,160,104,697,1600,0.8051948051948054,0.7607361963190185,0.8551724137931035,0.7272727272727272,0.0,0.9361702127659574,0.8823529411764706,0.7710843373493976
Spanish,Large,5248,170,104,1680,1700,0.825503355704698,0.803921568627451,0.8482758620689655,0.7843137254901961,0.0,0.9361702127659574,0.8787878787878788,0.7804878048780488
Spanish,Large,5248,180,104,1711,1800,0.8160535117056856,0.7922077922077922,0.8413793103448276,0.7169811320754718,0.0,0.9361702127659574,0.8787878787878788,0.8461538461538461
Spanish,Large,5248,190,104,1855,1900,0.814569536423841,0.7834394904458599,0.8482758620689655,0.7924528301886793,0.0,0.8260869565217391,0.8484848484848486,0.8292682926829267
Spanish,Large,5248,200,104,1613,2000,0.8389261744966443,0.8169934640522876,0.8620689655172413,0.780952380952381,0.0,1.0,0.8955223880597014,0.7848101265822786
Spanish,Large,5248,210,104,1450,2100,0.8514851485148515,0.8164556962025317,0.8896551724137931,0.8148148148148148,0.0,1.0,0.90625,0.7857142857142856
Spanish,Large,5248,220,104,1590,2200,0.8196721311475409,0.78125,0.8620689655172413,0.761904761904762,0.0,0.8695652173913043,0.888888888888889,0.8222222222222223
Spanish,Large,5248,230,104,1097,2300,0.8344827586206898,0.8344827586206897,0.8344827586206897,0.7843137254901961,0.0,0.9565217391304348,0.84375,0.8205128205128205
Spanish,Large,5248,240,104,1469,2400,0.84,0.8129032258064516,0.8689655172413793,0.780952380952381,0.0,0.9565217391304348,0.8923076923076922,0.8095238095238095
Spanish,Large,5248,241,104,2397,2410,0.8327868852459015,0.79375,0.8758620689655172,0.7663551401869159,0.0,0.9777777777777777,0.8787878787878788,0.8235294117647058
Spanish,Large,9356,20,104,107,200,0.7131147540983607,0.6541353383458647,0.7837837837837838,0.6,0.8,0.6666666666666666,0.8045977011494252,0.7105263157894738
Spanish,Large,9356,30,104,142,300,0.7542372881355933,0.712,0.8018018018018018,0.625,0.8,0.6666666666666666,0.8536585365853658,0.759493670886076
Spanish,Large,9356,40,104,397,400,0.7489361702127659,0.7096774193548387,0.7927927927927928,0.6428571428571429,0.6666666666666666,0.6666666666666666,0.8470588235294119,0.7317073170731708
Spanish,Large,9356,50,104,380,500,0.7901234567901235,0.7272727272727273,0.8648648648648649,0.6666666666666666,0.8,0.6666666666666666,0.9069767441860465,0.775
Spanish,Large,9356,60,104,564,600,0.7933884297520661,0.732824427480916,0.8648648648648649,0.6461538461538462,0.8,0.6666666666666666,0.9318181818181819,0.7692307692307692
Spanish,Large,9356,70,104,600,700,0.819672131147541,0.7518796992481203,0.9009009009009009,0.6865671641791045,1.0,0.6666666666666666,0.9425287356321839,0.7999999999999999
Spanish,Large,9356,80,104,509,800,0.8083333333333333,0.751937984496124,0.8738738738738738,0.6769230769230768,0.8,0.6666666666666666,0.9069767441860465,0.8205128205128205
Spanish,Large,9356,90,104,896,900,0.8130081300813008,0.7407407407407407,0.9009009009009009,0.676470588235294,0.6666666666666666,0.6666666666666666,0.9069767441860465,0.85
Spanish,Large,9356,100,104,632,1000,0.8340425531914892,0.7903225806451613,0.8828828828828829,0.7096774193548386,0.6666666666666666,0.6666666666666666,0.8837209302325582,0.9066666666666667
Spanish,Large,9356,110,104,1042,1100,0.8305084745762712,0.784,0.8828828828828829,0.6666666666666666,0.8,0.6666666666666666,0.9069767441860465,0.8947368421052632
Spanish,Large,9356,120,104,834,1200,0.8395061728395061,0.7727272727272727,0.918918918918919,0.7384615384615385,0.6666666666666666,0.6666666666666666,0.9425287356321839,0.8354430379746837
Spanish,Large,9356,130,104,751,1300,0.8205128205128206,0.7804878048780488,0.8648648648648649,0.7213114754098361,0.6666666666666666,0.6666666666666666,0.8837209302325582,0.8533333333333333
Spanish,Large,9356,140,104,1365,1400,0.8412017167381974,0.8032786885245902,0.8828828828828829,0.7741935483870969,0.6666666666666666,0.4,0.9047619047619047,0.8684210526315789
Spanish,Large,9356,150,104,1148,1500,0.8319327731092437,0.7795275590551181,0.8918918918918919,0.7096774193548386,0.6666666666666666,0.6666666666666666,0.9069767441860465,0.8717948717948718
Spanish,Large,9356,160,104,1404,1600,0.8305084745762712,0.784,0.8828828828828829,0.7500000000000001,0.8,0.5,0.9176470588235294,0.8205128205128205
Spanish,Large,9356,170,104,1496,1700,0.823045267489712,0.7575757575757576,0.9009009009009009,0.7164179104477612,0.8,0.8,0.9069767441860465,0.8250000000000001
Spanish,Large,9356,180,104,544,1800,0.8278688524590164,0.7593984962406015,0.9099099099099099,0.7826086956521738,0.8,0.5,0.8837209302325582,0.8250000000000001
Spanish,Large,9356,190,104,555,1900,0.8395061728395061,0.7727272727272727,0.918918918918919,0.7384615384615385,0.8,0.8,0.9195402298850575,0.8395061728395062
Spanish,Large,9356,200,104,926,2000,0.8326530612244898,0.7611940298507462,0.918918918918919,0.6857142857142857,0.8,0.8,0.9425287356321839,0.8461538461538461
Spanish,Large,9356,210,104,1173,2100,0.8305084745762712,0.784,0.8828828828828829,0.7213114754098361,0.8,0.8,0.9195402298850575,0.8205128205128205
Spanish,Large,9356,220,104,1377,2200,0.8512396694214875,0.7862595419847328,0.9279279279279279,0.746268656716418,0.8,0.8,0.9425287356321839,0.8461538461538461
Spanish,Large,9356,230,104,1741,2300,0.8408163265306122,0.7686567164179104,0.9279279279279279,0.7397260273972602,1.0,0.5,0.9425287356321839,0.8311688311688312
Spanish,Large,9356,240,104,2312,2400,0.8387096774193549,0.7591240875912408,0.9369369369369369,0.7323943661971831,0.8,0.6666666666666666,0.9302325581395349,0.85
Spanish,Large,9356,241,104,1432,2410,0.8512396694214875,0.7862595419847328,0.9279279279279279,0.8235294117647058,0.8,0.5,0.9425287356321839,0.7948717948717949
