Trainset,Model,Seed,Trainsize,Test_size,Best_step,Total_steps,OVERALL,RECALL,PRECISION,BEHÖRDE,JOURNALIST,MEDIEN,PARTEI,POLITIKER
English,Base,6274,150,68,1441,1500,0.7887323943661971,0.717948717948718,0.875,0.773109243697479,0.0,0.28571428571428575,0.7999999999999999,0.8130841121495328
English,Base,6274,157,68,1204,1570,0.8069164265129684,0.7486631016042781,0.875,0.810344827586207,0.0,0.28571428571428575,0.7999999999999999,0.8229665071770336
English,Base,7317,20,68,62,200,0.7049180327868851,0.6354679802955665,0.7914110429447853,0.7500000000000001,0.0,0.0,0.6666666666666665,0.7323943661971831
English,Base,7317,30,68,72,300,0.7231638418079096,0.6701570680628273,0.7852760736196319,0.7766990291262137,0.0,0.0,0.6451612903225806,0.753623188405797
English,Base,7317,40,68,371,400,0.7261904761904763,0.7052023121387283,0.7484662576687117,0.7676767676767676,0.0,0.0,0.6000000000000001,0.7537688442211055
English,Base,7317,50,68,349,500,0.746987951807229,0.7337278106508875,0.7607361963190185,0.761904761904762,0.0,0.0,0.64,0.7794871794871796
English,Base,7317,60,68,595,600,0.7470588235294118,0.7175141242937854,0.7791411042944786,0.7692307692307692,0.0,0.0,0.6875,0.7715736040609137
English,Base,7317,70,68,149,700,0.7550432276657061,0.7119565217391305,0.803680981595092,0.7706422018348624,0.0,0.0,0.7272727272727272,0.7777777777777778
English,Base,7317,80,68,477,800,0.7736389684813754,0.7258064516129032,0.8282208588957055,0.8073394495412843,0.0,0.0,0.7777777777777777,0.7817258883248731
English,Base,7317,90,68,881,900,0.7965616045845273,0.7473118279569892,0.852760736196319,0.8545454545454546,0.0,0.0,0.7999999999999999,0.7959183673469388
English,Base,7317,100,68,377,1000,0.764872521246459,0.7105263157894737,0.8282208588957055,0.7747747747747747,0.0,0.0,0.7777777777777777,0.7839195979899498
English,Base,7317,110,68,1070,1100,0.7830985915492957,0.7239583333333334,0.852760736196319,0.8256880733944953,0.0,0.0,0.7999999999999999,0.7881773399014779
English,Base,7317,120,68,838,1200,0.768361581920904,0.7120418848167539,0.8343558282208589,0.75,0.0,0.0,0.75,0.8078817733990148
English,Base,7317,130,68,708,1300,0.7550432276657061,0.7119565217391305,0.803680981595092,0.7339449541284404,0.0,0.0,0.7741935483870969,0.79
English,Base,7317,140,68,1038,1400,0.8068181818181818,0.7513227513227513,0.8711656441717791,0.8440366972477064,0.0,0.0,0.875,0.8078817733990148
English,Base,7317,150,68,1036,1500,0.8022922636103152,0.7526881720430108,0.8588957055214724,0.8256880733944953,0.0,0.0,0.9090909090909091,0.8
English,Base,7317,157,68,1347,1570,0.8179104477611939,0.7965116279069767,0.8404907975460123,0.8000000000000002,0.0,0.0,0.9090909090909091,0.8421052631578947
