Label,Seed,Trainsize,NumEntities,UniqueEntities,AvgTokens,Lang,Model,F1
PARTEI,6378,80,16,13,1.4375,English,Large,0.8148148148148148
POLITIKER,6378,80,103,52,1.4174757281553398,English,Large,0.8607594936708861
BEHÖRDE,6378,90,54,24,1.6666666666666667,English,Large,0.7674418604651163
JOURNALIST,6378,90,0,0,0.0,English,Large,0.0
MEDIEN,6378,90,1,1,4.0,English,Large,0.0
PARTEI,6378,90,16,13,1.4375,English,Large,0.896551724137931
POLITIKER,6378,90,113,54,1.3893805309734513,English,Large,0.8669527896995709
BEHÖRDE,6378,100,60,24,1.6333333333333333,English,Large,0.7912087912087912
JOURNALIST,6378,100,0,0,0.0,English,Large,0.0
MEDIEN,6378,100,1,1,4.0,English,Large,0.0
PARTEI,6378,100,18,14,1.3888888888888888,English,Large,0.896551724137931
POLITIKER,6378,100,118,57,1.4067796610169492,English,Large,0.8810572687224669
BEHÖRDE,6378,110,66,25,1.6363636363636365,English,Large,0.711111111111111
JOURNALIST,6378,110,0,0,0.0,English,Large,0.0
MEDIEN,6378,110,1,1,4.0,English,Large,0.0
PARTEI,6378,110,19,14,1.4210526315789473,English,Large,0.896551724137931
POLITIKER,6378,110,130,63,1.4230769230769231,English,Large,0.8898678414096917
BEHÖRDE,6378,120,69,25,1.608695652173913,English,Large,0.7777777777777778
JOURNALIST,6378,120,0,0,0.0,English,Large,0.0
MEDIEN,6378,120,1,1,4.0,English,Large,0.0
PARTEI,6378,120,21,15,1.380952380952381,English,Large,0.8666666666666666
POLITIKER,6378,120,142,71,1.4366197183098592,English,Large,0.8658008658008659
BEHÖRDE,6378,130,74,25,1.5810810810810811,English,Large,0.7777777777777778
JOURNALIST,6378,130,0,0,0.0,English,Large,0.0
MEDIEN,6378,130,2,2,2.5,English,Large,0.0
PARTEI,6378,130,23,16,1.3478260869565217,English,Large,0.896551724137931
POLITIKER,6378,130,149,72,1.429530201342282,English,Large,0.8680851063829788
BEHÖRDE,6378,140,83,26,1.5662650602409638,English,Large,0.7912087912087912
JOURNALIST,6378,140,0,0,0.0,English,Large,0.0
MEDIEN,6378,140,2,2,2.5,English,Large,0.0
PARTEI,6378,140,24,16,1.3333333333333333,English,Large,0.8387096774193549
POLITIKER,6378,140,168,77,1.4345238095238095,English,Large,0.8878923766816144
BEHÖRDE,6378,150,89,27,1.5730337078651686,English,Large,0.8181818181818182
JOURNALIST,6378,150,0,0,0.0,English,Large,0.0
MEDIEN,6378,150,2,2,2.5,English,Large,0.0
PARTEI,6378,150,26,16,1.3461538461538463,English,Large,0.8275862068965518
POLITIKER,6378,150,187,83,1.4598930481283423,English,Large,0.8839285714285715
BEHÖRDE,6378,157,90,27,1.5666666666666667,English,Large,0.7954545454545454
JOURNALIST,6378,157,0,0,0.0,English,Large,0.0
MEDIEN,6378,157,2,2,2.5,English,Large,0.0
PARTEI,6378,157,27,16,1.3703703703703705,English,Large,0.896551724137931
POLITIKER,6378,157,190,83,1.4578947368421054,English,Large,0.8820960698689956
BEHÖRDE,7317,20,12,4,1.5833333333333333,English,Large,0.7321428571428572
JOURNALIST,7317,20,0,0,0.0,English,Large,0.0
MEDIEN,7317,20,0,0,0.0,English,Large,0.0
PARTEI,7317,20,2,2,1.0,English,Large,0.6875
POLITIKER,7317,20,39,22,1.4615384615384615,English,Large,0.7623762376237623
BEHÖRDE,7317,30,16,7,1.6875,English,Large,0.6601941747572816
JOURNALIST,7317,30,0,0,0.0,English,Large,0.0
MEDIEN,7317,30,0,0,0.0,English,Large,0.0
PARTEI,7317,30,5,5,1.0,English,Large,0.6666666666666667
POLITIKER,7317,30,59,34,1.4915254237288136,English,Large,0.7562189054726367
BEHÖRDE,7317,40,19,8,1.5789473684210527,English,Large,0.7207207207207207
JOURNALIST,7317,40,0,0,0.0,English,Large,0.0
MEDIEN,7317,40,1,1,2.0,English,Large,0.0
PARTEI,7317,40,6,6,1.1666666666666667,English,Large,0.6857142857142857
POLITIKER,7317,40,77,45,1.5714285714285714,English,Large,0.7839195979899498
BEHÖRDE,7317,50,25,10,1.64,English,Large,0.7079646017699115
JOURNALIST,7317,50,0,0,0.0,English,Large,0.0
MEDIEN,7317,50,1,1,2.0,English,Large,0.0
PARTEI,7317,50,6,6,1.1666666666666667,English,Large,0.7272727272727272
POLITIKER,7317,50,80,47,1.575,English,Large,0.78125
BEHÖRDE,7317,60,32,12,1.625,English,Large,0.6981132075471698
JOURNALIST,7317,60,0,0,0.0,English,Large,0.0
MEDIEN,7317,60,1,1,2.0,English,Large,0.0
PARTEI,7317,60,9,9,1.5555555555555556,English,Large,0.787878787878788
POLITIKER,7317,60,91,52,1.5714285714285714,English,Large,0.7878787878787878
BEHÖRDE,7317,70,37,14,1.5405405405405406,English,Large,0.7241379310344828
JOURNALIST,7317,70,0,0,0.0,English,Large,0.0
MEDIEN,7317,70,1,1,2.0,English,Large,0.0
PARTEI,7317,70,10,9,1.5,English,Large,0.7058823529411765
POLITIKER,7317,70,100,56,1.56,English,Large,0.7783251231527094
BEHÖRDE,7317,80,46,15,1.5,English,Large,0.7272727272727272
JOURNALIST,7317,80,0,0,0.0,English,Large,0.0
MEDIEN,7317,80,1,1,2.0,English,Large,0.0
PARTEI,7317,80,10,9,1.5,English,Large,0.7586206896551724
POLITIKER,7317,80,113,62,1.5398230088495575,English,Large,0.7961165048543689
BEHÖRDE,7317,90,48,15,1.4791666666666667,English,Large,0.7610619469026547
JOURNALIST,7317,90,0,0,0.0,English,Large,0.0
MEDIEN,7317,90,1,1,2.0,English,Large,0.0
PARTEI,7317,90,13,10,1.3846153846153846,English,Large,0.7586206896551724
POLITIKER,7317,90,129,68,1.5271317829457365,English,Large,0.8097560975609758
BEHÖRDE,7317,100,54,18,1.462962962962963,English,Large,0.7454545454545455
JOURNALIST,7317,100,0,0,0.0,English,Large,0.0
MEDIEN,7317,100,1,1,2.0,English,Large,0.0
PARTEI,7317,100,14,10,1.3571428571428572,English,Large,0.787878787878788
POLITIKER,7317,100,140,70,1.5285714285714285,English,Large,0.81
BEHÖRDE,7317,110,59,18,1.423728813559322,English,Large,0.7207207207207207
JOURNALIST,7317,110,0,0,0.0,English,Large,0.0
MEDIEN,7317,110,1,1,2.0,English,Large,0.0
PARTEI,7317,110,15,11,1.3333333333333333,English,Large,0.8484848484848485
POLITIKER,7317,110,152,76,1.5328947368421053,English,Large,0.7941176470588235
BEHÖRDE,7317,120,64,19,1.40625,English,Large,0.7818181818181817
JOURNALIST,7317,120,0,0,0.0,English,Large,0.0
MEDIEN,7317,120,1,1,2.0,English,Large,0.0
PARTEI,7317,120,17,11,1.2941176470588236,English,Large,0.8387096774193549
POLITIKER,7317,120,161,81,1.5527950310559007,English,Large,0.8056872037914692
BEHÖRDE,7317,130,65,19,1.4,English,Large,0.7894736842105263
JOURNALIST,7317,130,0,0,0.0,English,Large,0.0
MEDIEN,7317,130,1,1,2.0,English,Large,0.0
PARTEI,7317,130,17,11,1.2941176470588236,English,Large,0.823529411764706
