timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-11-26T19:37:26,Cleantrain_Large_v3,0ea1b01f-79cf-471a-bb5c-bb71d869cfcf,14084.681536912918,0.4524318284580806,3.212226185394069e-05,60.07722930854741,229.92523838379057,94.23870277404784,0.2172036859925321,0.6532093692337355,0.3675084239860501,1.2379214792123188,Germany,DEU,land berlin,,,Linux-5.15.0-87-generic-x86_64-with-glibc2.35,3.10.12,2.3.1,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.3032073974609,machine,N,1.0
2023-12-01T21:42:03,Pretrain_Base_v4,95365489-3cdb-4dbb-8009-8c7fee34576e,10734.201287031174,0.421315041386647,3.924978022311456e-05,62.49740859774198,226.42082573323816,94.23870277404784,0.1855681780922014,0.6863208232228715,0.2808922718885683,1.1527812732036409,Germany,DEU,land berlin,,,Linux-5.15.0-87-generic-x86_64-with-glibc2.35,3.10.12,2.3.1,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.3032073974609,machine,N,1.0
2023-12-02T00:34:43,Cleantrain_Base_v4,df1a2455-c5c5-4ee9-bd80-d672eceaaaff,10358.560579299929,0.3954115900485631,3.817244558464383e-05,66.17479722266941,231.6651823943056,94.23870277404784,0.1843168612425375,0.62689685318378,0.2706918228539021,1.0819055372802204,Germany,DEU,land berlin,,,Linux-5.15.0-87-generic-x86_64-with-glibc2.35,3.10.12,2.3.1,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.3032073974609,machine,N,1.0
2023-12-02T09:41:01,VanillaTrain,42c3c3c9-c845-4130-8037-710bbf8e5324,54114.68885278702,2.0327926672955408,3.756452657106699e-05,56.593015920284415,136.48747660785477,94.23870277404784,0.9232394468515216,3.223196521888468,1.41559027995841,5.5620262486983885,Germany,DEU,land berlin,,,Linux-5.15.0-87-generic-x86_64-with-glibc2.35,3.10.12,2.3.1,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.3032073974609,machine,N,1.0
2023-12-02T19:23:29,Pretrain_Large_v4,463a6743-1993-40bc-bc55-6af120865cb5,17707.202272892,0.684399150571381,3.8650891316644045e-05,58.25525809488055,174.33070655863028,94.23870277404784,0.2877926932000818,1.1214559988307258,0.4633702431453633,1.8726189351761693,Germany,DEU,land berlin,,,Linux-5.15.0-87-generic-x86_64-with-glibc2.35,3.10.12,2.3.1,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.3032073974609,machine,N,1.0
2023-12-02T23:01:59,Cleantrain_Large_v4,9fbb26ef-9137-4a3f-aa3e-a5d586ab8d36,13106.004400014876,0.4313364018265357,3.291135792889296e-05,62.18196903244435,171.59374737515583,94.23870277404784,0.2101661578389027,0.6278061889111939,0.3422288747399992,1.1802012214900957,Germany,DEU,land berlin,,,Linux-5.15.0-87-generic-x86_64-with-glibc2.35,3.10.12,2.3.1,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.3032073974609,machine,N,1.0
2023-12-04T22:44:12,VanillaTrain,cfe4d46a-05f8-440e-a0c4-72c00623c8c2,131376.03753757477,5.079491842548034,3.866376195959824e-05,57.270908832602544,169.69291198192792,94.23870277404784,2.147902943280424,8.31295809341671,3.437392047759721,13.898253084456844,Germany,DEU,land berlin,,,Linux-5.15.0-87-generic-x86_64-with-glibc2.35,3.10.12,2.3.1,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.3032073974609,machine,N,1.0
2023-12-05T15:16:46,Pretrain_Base_v4,6f12e580-b860-4783-b331-1acf88fba9c9,116.87260818481444,0.0044522750431957,3.809511152651971e-05,58.753137721752736,227.4606490900862,94.23870277404784,0.0019140623931931,0.0072094352119904,0.0030585960510403,0.0121820936562239,Germany,DEU,land berlin,,,Linux-5.15.0-87-generic-x86_64-with-glibc2.35,3.10.12,2.3.1,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.3032073974609,machine,N,1.0
2023-12-05T15:48:36,Pretrain_Base_v4,6a52ba6e-2ccf-49e6-81a2-35f4432b14fa,1156.7120740413666,0.0444675580349785,3.844306550688624e-05,58.93385719836439,222.36052904111327,94.23870277404784,0.019077942142897,0.0723289795298001,0.0302630001964724,0.1216699218691696,Germany,DEU,land berlin,,,Linux-5.15.0-87-generic-x86_64-with-glibc2.35,3.10.12,2.3.1,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.3032073974609,machine,N,1.0
2023-12-06T07:11:27,Pretrain_Large_v4,7d19b29e-491d-4f21-951f-c9f2113c8a8d,1590.0929107666016,0.0602690306146469,3.790283586988044e-05,54.21399204591216,224.4421639823317,94.23870277404784,0.0240210518462705,0.0992742819193495,0.0416097919047969,0.1649051256704168,Germany,DEU,land berlin,,,Linux-5.15.0-87-generic-x86_64-with-glibc2.35,3.10.12,2.3.1,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.3032073974609,machine,N,1.0
2023-12-10T16:54:42,Pretrain_Large_v5,e4bba635-eaa8-44a5-8cf2-f341c427c1f9,15949.355640649796,0.568147540674802,3.562197454715826e-05,57.56882079395802,230.4690984272042,94.23870277404784,0.2511258768177631,0.8871861844706075,0.4162249976094598,1.5545370588978291,Germany,DEU,land berlin,,,Linux-5.15.0-87-generic-x86_64-with-glibc2.35,3.10.12,2.3.1,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.3032073974609,machine,N,1.0
2023-12-10T22:52:29,Pretrain_Base_v5,94615bdc-feb0-4cd7-93e5-dcd209fd70c7,8287.657568693161,0.3065965101128426,3.699435064390436e-05,57.62591496000195,217.6356353406769,94.23870277404784,0.1313540684656708,0.4907111975686291,0.2168288644112346,0.8388941304455347,Germany,DEU,land berlin,,,Linux-5.15.0-87-generic-x86_64-with-glibc2.35,3.10.12,2.3.1,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.3032073974609,machine,N,1.0
2023-12-11T15:24:46,Pretrain_Base_v4,9c318e15-6bd9-4aa5-830f-37c813326d5c,562.5719418525696,0.020305971423882,3.60948883391052e-05,54.42937721595223,202.7017081894468,94.23870277404784,0.008767859073726,0.032071005101244,0.0147213254508669,0.0555601896258371,Germany,DEU,land berlin,,,Linux-5.15.0-87-generic-x86_64-with-glibc2.35,3.10.12,2.3.1,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.3032073974609,machine,N,1.0
2023-12-16T08:07:57,VanillaTrain,094e00d6-cf65-4898-9d32-9f9dea61581d,50140.87715649605,1.8098932175342617,3.60961618578262e-05,55.8751463272903,168.42028802993465,94.23870420455934,0.7826711887983953,2.8577626673194167,1.3117059981938477,4.952139854311658,Germany,DEU,land berlin,,,Linux-5.15.0-91-generic-x86_64-with-glibc2.35,3.10.12,2.3.1,32,AMD EPYC 7302P 16-Core Processor,1,1 x Tesla V100S-PCIE-32GB,13.4069,52.5196,251.3032112121582,machine,N,1.0
