Data,Model,Quantization,Fold,Epoch,Step,F1,Recall,Precision
,,,2,13,12,,,
,,,2,13,12,,,
,,,2,13,12,,,
,,,2,13,12,,,
,,,2,13,16,,,
,,,2,13,16,,,
,,,2,13,16,,,
,,,2,13,16,,,
,,,2,13,20,,,
,,,2,13,20,,,
,,,2,13,20,,,
,,,2,13,20,,,
,,,2,13,24,,,
,,,2,13,24,,,
,,,2,13,24,,,
,,,2,13,24,,,
,,,2,13,28,,,
,,,2,13,28,,,
,,,2,13,28,,,
,,,2,13,28,,,
,,,2,13,32,,,
,,,2,13,32,,,
,,,2,13,32,,,
,,,2,13,32,,,
,,,2,13,36,,,
,,,2,13,36,,,
,,,2,13,36,,,
,,,2,13,36,,,
,,,2,13,40,,,
,,,2,13,40,,,
,,,2,13,40,,,
,,,2,13,40,,,
,,,2,14,4,,,
,,,2,14,4,,,
,,,2,14,4,,,
,,,2,14,4,,,
,,,2,14,8,,,
,,,2,14,8,,,
,,,2,14,8,,,
,,,2,14,8,,,
,,,2,14,12,,,
,,,2,14,12,,,
,,,2,14,12,,,
,,,2,14,12,,,
,,,2,14,16,,,
,,,2,14,16,,,
,,,2,14,16,,,
,,,2,14,16,,,
,,,2,14,20,,,
,,,2,14,20,,,
,,,2,14,20,,,
,,,2,14,20,,,
,,,2,14,24,,,
,,,2,14,24,,,
,,,2,14,24,,,
,,,2,14,24,,,
,,,2,14,28,,,
,,,2,14,28,,,
,,,2,14,28,,,
,,,2,14,28,,,
,,,2,14,32,,,
,,,2,14,32,,,
,,,2,14,32,,,
,,,2,14,32,,,
,,,2,14,36,,,
,,,2,14,36,,,
,,,2,14,36,,,
,,,2,14,36,,,
,,,2,14,40,,,
,,,2,14,40,,,
,,,2,14,40,,,
,,,2,14,40,,,
InDomain,Base,fp32,3,12,28,0.7777777777777778,0.7714748784440842,0.7841845140032949
OutDomain,Base,fp32,3,12,28,0.7262658227848101,0.7662771285475793,0.6902255639097744
Twitter,Base,fp32,3,12,28,0.794425087108014,0.8351648351648352,0.7574750830564784
English,Base,fp32,3,12,28,0.5666666666666667,0.6502732240437158,0.5021097046413502
Spanish,Base,fp32,3,12,28,0.5790816326530612,0.6412429378531074,0.5279069767441861
InDomain,Base,fp16,3,12,28,0.7777777777777778,0.7714748784440842,0.7841845140032949
OutDomain,Base,fp16,3,12,28,0.7262658227848101,0.7662771285475793,0.6902255639097744
Twitter,Base,fp16,3,12,28,0.794425087108014,0.8351648351648352,0.7574750830564784
English,Base,fp16,3,12,28,0.5659928656361475,0.6485013623978202,0.5021097046413502
Spanish,Base,fp16,3,12,28,0.5790816326530612,0.6412429378531074,0.5279069767441861
InDomain,Base,int8,3,12,28,0.7806080525883319,0.7786885245901639,0.7825370675453048
OutDomain,Base,int8,3,12,28,0.7238394964594808,0.759075907590759,0.6917293233082706
Twitter,Base,int8,3,12,28,0.7812500000000001,0.8181818181818182,0.7475083056478405
English,Base,int8,3,12,28,0.5639810426540285,0.6432432432432432,0.5021097046413502
Spanish,Base,int8,3,12,28,0.5849297573435505,0.6487252124645893,0.5325581395348837
InDomain,Base,int4,3,12,28,0.7457912457912457,0.7624784853700516,0.729818780889621
OutDomain,Base,int4,3,12,28,0.6624203821656051,0.7038917089678511,0.6255639097744361
Twitter,Base,int4,3,12,28,0.7375643224699829,0.7624113475177305,0.7142857142857143
English,Base,int4,3,12,28,0.5087281795511223,0.6219512195121951,0.43037974683544306
Spanish,Base,int4,3,12,28,0.5201560468140441,0.5899705014749262,0.46511627906976744
,,,3,12,32,,,
,,,3,12,32,,,
,,,3,12,32,,,
,,,3,12,32,,,
,,,3,12,36,,,
,,,3,12,36,,,
,,,3,12,36,,,
,,,3,12,36,,,
,,,3,12,40,,,
,,,3,12,40,,,
,,,3,12,40,,,
,,,3,12,40,,,
,,,3,13,4,,,
,,,3,13,4,,,
,,,3,13,4,,,
,,,3,13,4,,,
,,,3,13,8,,,
,,,3,13,8,,,
,,,3,13,8,,,
,,,3,13,8,,,
,,,3,13,12,,,
,,,3,13,12,,,
,,,3,13,12,,,
,,,3,13,12,,,
,,,3,13,16,,,
,,,3,13,16,,,
,,,3,13,16,,,
,,,3,13,16,,,
,,,3,13,20,,,
,,,3,13,20,,,
,,,3,13,20,,,
,,,3,13,20,,,
,,,3,13,24,,,
,,,3,13,24,,,
,,,3,13,24,,,
,,,3,13,24,,,
,,,3,13,28,,,
,,,3,13,28,,,
,,,3,13,28,,,
,,,3,13,28,,,
,,,3,13,32,,,
,,,3,13,32,,,
,,,3,13,32,,,
,,,3,13,32,,,
,,,3,13,36,,,
,,,3,13,36,,,
,,,3,13,36,,,
,,,3,13,36,,,
,,,3,13,40,,,
,,,3,13,40,,,
,,,3,13,40,,,
,,,3,13,40,,,
,,,3,14,4,,,
,,,3,14,4,,,
,,,3,14,4,,,
,,,3,14,4,,,
,,,3,14,8,,,
,,,3,14,8,,,
,,,3,14,8,,,
,,,3,14,8,,,
,,,3,14,12,,,
,,,3,14,12,,,
,,,3,14,12,,,
,,,3,14,12,,,
,,,3,14,16,,,
,,,3,14,16,,,
,,,3,14,16,,,
,,,3,14,16,,,
,,,3,14,20,,,
,,,3,14,20,,,
,,,3,14,20,,,
,,,3,14,20,,,
,,,3,14,24,,,
,,,3,14,24,,,
,,,3,14,24,,,
,,,3,14,24,,,
,,,3,14,28,,,
,,,3,14,28,,,
,,,3,14,28,,,
,,,3,14,28,,,
,,,3,14,32,,,
,,,3,14,32,,,
,,,3,14,32,,,
,,,3,14,32,,,
,,,3,14,36,,,
,,,3,14,36,,,
,,,3,14,36,,,
,,,3,14,36,,,
,,,3,14,40,,,
,,,3,14,40,,,
,,,3,14,40,,,
,,,3,14,40,,,
InDomain,Base,fp32,4,12,28,0.8111769686706183,0.7943615257048093,0.828719723183391
OutDomain,Base,fp32,4,12,28,0.7243491577335377,0.7379095163806553,0.7112781954887218
Twitter,Base,fp32,4,12,28,0.7986230636833047,0.8285714285714286,0.770764119601329
English,Base,fp32,4,12,28,0.5384615384615384,0.6015625,0.4873417721518987
Spanish,Base,fp32,4,12,28,0.595,0.6432432432432432,0.5534883720930233
InDomain,Base,fp16,4,12,28,0.8111769686706183,0.7943615257048093,0.828719723183391
OutDomain,Base,fp16,4,12,28,0.7243491577335377,0.7379095163806553,0.7112781954887218
Twitter,Base,fp16,4,12,28,0.7986230636833047,0.8285714285714286,0.770764119601329
English,Base,fp16,4,12,28,0.5390898483080514,0.6031331592689295,0.4873417721518987
Spanish,Base,fp16,4,12,28,0.595,0.6432432432432432,0.5534883720930233
InDomain,Base,int8,4,12,28,0.8135593220338984,0.7973421926910299,0.8304498269896193
OutDomain,Base,int8,4,12,28,0.7211611917494272,0.7329192546583851,0.7097744360902256
Twitter,Base,int8,4,12,28,0.7944732297063902,0.8273381294964028,0.7641196013289037
English,Base,int8,4,12,28,0.5481997677119628,0.6098191214470284,0.4978902953586498
Spanish,Base,int8,4,12,28,0.5828144458281445,0.6273458445040214,0.5441860465116279
InDomain,Base,int4,4,12,28,0.7712305025996535,0.7725694444444444,0.7698961937716263
OutDomain,Base,int4,4,12,28,0.653968253968254,0.692436974789916,0.6195488721804512
Twitter,Base,int4,4,12,28,0.743455497382199,0.7830882352941176,0.707641196013289
English,Base,int4,4,12,28,0.4975124378109453,0.6060606060606061,0.4219409282700422
Spanish,Base,int4,4,12,28,0.5214007782101167,0.5894428152492669,0.46744186046511627
,,,4,12,32,,,
,,,4,12,32,,,
,,,4,12,32,,,
,,,4,12,32,,,
,,,4,12,36,,,
,,,4,12,36,,,
,,,4,12,36,,,
,,,4,12,36,,,
,,,4,12,40,,,
,,,4,12,40,,,
,,,4,12,40,,,
,,,4,12,40,,,
,,,4,13,4,,,
,,,4,13,4,,,
,,,4,13,4,,,
,,,4,13,4,,,
,,,4,13,8,,,
,,,4,13,8,,,
,,,4,13,8,,,
,,,4,13,8,,,
,,,4,13,12,,,
,,,4,13,12,,,
,,,4,13,12,,,
,,,4,13,12,,,
,,,4,13,16,,,
,,,4,13,16,,,
,,,4,13,16,,,
,,,4,13,16,,,
,,,4,13,20,,,
,,,4,13,20,,,
,,,4,13,20,,,
,,,4,13,20,,,
,,,4,13,24,,,
,,,4,13,24,,,
,,,4,13,24,,,
,,,4,13,24,,,
,,,4,13,28,,,
,,,4,13,28,,,
,,,4,13,28,,,
,,,4,13,28,,,
,,,4,13,32,,,
,,,4,13,32,,,
,,,4,13,32,,,
,,,4,13,32,,,
,,,4,13,36,,,
,,,4,13,36,,,
,,,4,13,36,,,
,,,4,13,36,,,
,,,4,13,40,,,
,,,4,13,40,,,
,,,4,13,40,,,
,,,4,13,40,,,
,,,4,14,4,,,
,,,4,14,4,,,
,,,4,14,4,,,
,,,4,14,4,,,
,,,4,14,8,,,
,,,4,14,8,,,
,,,4,14,8,,,
,,,4,14,8,,,
,,,4,14,12,,,
,,,4,14,12,,,
,,,4,14,12,,,
,,,4,14,12,,,
,,,4,14,16,,,
,,,4,14,16,,,
,,,4,14,16,,,
,,,4,14,16,,,
,,,4,14,20,,,
,,,4,14,20,,,
,,,4,14,20,,,
,,,4,14,20,,,
,,,4,14,24,,,
,,,4,14,24,,,
,,,4,14,24,,,
,,,4,14,24,,,
,,,4,14,28,,,
,,,4,14,28,,,
,,,4,14,28,,,
,,,4,14,28,,,
,,,4,14,32,,,
,,,4,14,32,,,
,,,4,14,32,,,
,,,4,14,32,,,
,,,4,14,36,,,
,,,4,14,36,,,
,,,4,14,36,,,
,,,4,14,36,,,
,,,4,14,40,,,
,,,4,14,40,,,
,,,4,14,40,,,
,,,4,14,40,,,
